trial_number,median_duration_s,mean_duration_s,n
1,119.28175,360.95973979999997,25
2,105.37024550000001,273.64995068181815,22
3,102.449884,172.49997286363634,22
4,97.0277695,119.98079600000001,22
5,80.4962005,124.06881295454545,22
6,87.25206750000001,99.41333345454545,22
7,56.378655499999994,91.55689818181818,22
8,63.491008,76.41973147619048,21
