axis,model,win_rate,top2_rate,n_trials
musicality,MSLDM,0.5346534653465347,0.7821782178217822,101
musicality,MSG-LD,0.07920792079207921,0.26732673267326734,101
musicality,MSG-LD-ext,0.039603960396039604,0.22772277227722773,101
musicality,MGE-LDM,0.3465346534653465,0.7227722772277227,101
coherence,MSLDM,0.6534653465346535,0.900990099009901,101
coherence,MSG-LD,0.0297029702970297,0.13861386138613863,101
coherence,MSG-LD-ext,0.019801980198019802,0.2376237623762376,101
coherence,MGE-LDM,0.297029702970297,0.7227722772277227,101
