axis,model,bt_score,ci_low,ci_high,bt_rank,n_blocks,n_pairwise_preferences
coherence,MSLDM,1.390053315546048,1.126027900928365,1.7483437695156319,1,101,606
coherence,MSG-LD,-1.1697778998189554,-1.490805506977142,-0.8957084691745447,4,101,606
coherence,MSG-LD-ext,-0.758180037373985,-1.0216887820255098,-0.5255969332899457,3,101,606
coherence,MGE-LDM,0.5379046216468926,0.2649629348674322,0.818938710362225,2,101,606
musicality,MSLDM,0.8736039613844654,0.6362635391008292,1.1799393291000215,1,101,606
musicality,MSG-LD,-0.6805278092320783,-0.9489578277550273,-0.4404827622903361,4,101,606
musicality,MSG-LD-ext,-0.668559258835121,-0.8945503475858613,-0.4483529430736117,3,101,606
musicality,MGE-LDM,0.47548310668273397,0.2269400077409673,0.7308550080706795,2,101,606
