axis,model,mean_rank,ci_low,ci_high,n_trials
musicality,MSLDM,1.7524752475247525,1.5643564356435644,1.9309405940594055,101
musicality,MSG-LD,3.089108910891089,2.9106435643564357,3.2675742574257423,101
musicality,MSG-LD-ext,3.0792079207920793,2.9306930693069306,3.257425742574257,101
musicality,MGE-LDM,2.0792079207920793,1.881188118811881,2.277475247524752,101
coherence,MSLDM,1.4752475247524752,1.3267326732673268,1.613861386138614,101
coherence,MSG-LD,3.376237623762376,3.217821782178218,3.5346534653465347,101
coherence,MSG-LD-ext,3.0792079207920793,2.9207920792079207,3.237623762376238,101
coherence,MGE-LDM,2.0693069306930694,1.891089108910891,2.2475247524752477,101
