source,model,metric,score,score_direction
table,MGE-LDM,cbs,0.52625,higher_better
table,MGE-LDM,cbd,0.19081,lower_better
table,MGE-LDM,cocola_harmonic,56.53726,higher_better
table,MGE-LDM,cocola_percussive,58.05308,higher_better
table,MGE-LDM,cocola_both,55.00231,higher_better
table,MGE-LDM,ba,0.6483,higher_better
table,MSG-LD-ext,si_sdr_i,,higher_better
table,MSG-LD-ext,mel_mse,2.12556,lower_better
table,MSG-LD-ext,fad_vggish,1.4808,lower_better
table,MSG-LD-ext,fad_clap,0.3139,lower_better
table,MSG-LD-ext,kad,0.21306,lower_better
table,MSG-LD-ext,irs,0.05931,higher_better
table,MSG-LD-ext,cbs,0.40102,higher_better
table,MSG-LD-ext,cbd,0.3208,lower_better
table,MSG-LD-ext,cocola_harmonic,56.66447,higher_better
table,MSG-LD-ext,cocola_percussive,61.05068,higher_better
table,MSG-LD-ext,cocola_both,56.76307,higher_better
table,MSG-LD-ext,ba,0.4639,higher_better
