axis,model_a,model_b,mean_rank_a,mean_rank_b,p_value,n_trials
musicality,MSG-LD,MSG-LD-ext,3.089108910891089,3.0792079207920793,0.9659939460200183,101
coherence,MSG-LD,MSG-LD-ext,3.376237623762376,3.0792079207920793,0.019765311993516874,101
