axis,model_a,model_b,mean_rank_a,mean_rank_b,p_value,n_trials
musicality,MSG-LD,MSG-LD-ext,3.8415841584158414,3.8118811881188117,0.8193910751726512,101
coherence,MSG-LD,MSG-LD-ext,4.217821782178218,3.8316831683168315,0.010984222516318807,101
