model,sample_id,fad_vggish,fad_clap,kad_vggish,kad_clap,irs,cbs,cbd,cocola_both,cocola_harmonic,cocola_percussive,ta,clip_id
MGE-LDM,01,0.5874736905097961,1.048469305038452,0.2051334679496911,0.4280379945431517,0.0915504128765766,0.5192307692287722,0.3906424547629684,56.242753982543945,59.06678771972656,57.31075668334961,0.3225806451612903,MGE-LDM/01
MGE-LDM,02,0.5233171582221985,0.963020384311676,0.2597922385109094,0.3789964849148558,0.0410668258819036,0.54761904761644,0.3077046014434362,61.13452339172363,63.95480918884277,64.33668327331543,0.4848484848484848,MGE-LDM/02
MGE-LDM,03,0.4451039135456085,0.909770131111145,0.199870139397445,0.3452910119686888,0.0830283180016259,0.5599999999977601,0.2609998229794152,61.35349082946777,61.63749504089356,66.78740119934082,0.2105263157894736,MGE-LDM/03
MGE-LDM,04,0.5371761918067932,1.1098058223724363,0.2694530785453942,0.4703239137326048,0.0451878244737456,0.5681818181805268,0.43239550871006,62.10961532592773,62.31782913208008,64.57868766784668,0.1428571428571428,MGE-LDM/04
MGE-LDM,05,0.5072891116142273,0.9558015465736388,0.2412939370048669,0.3739600116406248,0.0502702139711322,0.54999999999725,0.3261593860916727,59.34359169006348,66.44631958007812,65.54008674621582,0.3243243243243243,MGE-LDM/05
MGE-LDM,06,0.4172263145446777,1.0375096797943115,0.1807512343300011,0.4147634441052245,0.0496645930103082,0.5142857142842449,0.6181368246825658,64.88658142089844,66.93124961853027,67.70374870300293,0.2352941176470588,MGE-LDM/06
MGE-LDM,07,0.5664387345314026,0.9395491480827332,0.2842773497474816,0.3658965760861205,0.0760877229185385,0.5657894736827216,0.167406245981358,57.831220626831055,59.40275955200195,59.30659866333008,0.1481481481481481,MGE-LDM/07
MGE-LDM,08,0.7266725897789001,0.9030336141586304,0.3263950646293786,0.3440318042431639,0.0158794527479912,0.53999999999784,0.3755757348201597,53.57975006103516,57.28324890136719,58.25299835205078,0.2857142857142856,MGE-LDM/08
MGE-LDM,09,0.5104619264602661,1.1057653427124023,0.2156813443077233,0.4638831550274657,0.04250915443718,0.827586206893698,0.1100608378998411,59.85729789733887,66.7880973815918,68.30668640136719,0.8620689655172414,MGE-LDM/09
MGE-LDM,10,0.4593079388141632,1.072136163711548,0.2006680071724084,0.4406309062634276,0.0688250360751808,0.5192307692287722,0.3292036227635805,55.994741439819336,56.940778732299805,57.84651565551758,0.1333333333333333,MGE-LDM/10
MSDM,01,0.8419256210327148,1.1544711589813232,0.3161100447548058,0.4912311965618895,0.0373557629249485,0.3874999999980625,0.2819031598010968,57.83557891845703,61.17268085479736,58.90132522583008,0.7958859779511953,MSDM/01
MSDM,02,0.757543683052063,1.1377980709075928,0.2119275629890588,0.4976360732708739,0.0775537790802756,0.3461538461525148,0.1987981822505999,53.01820755004883,54.54856204986572,55.70134162902832,0.5058175545431918,MSDM/02
MSDM,03,6.477250576019287,0.9351842403411864,0.2404350340736535,0.3550661737118529,0.0618795502698858,0.324999999998375,0.2835090446175883,58.26623058319092,60.09420585632324,60.42831611633301,0.3390046296296296,MSDM/03
MSDM,04,0.6108567714691162,0.9821608066558838,0.2184744179618981,0.3914743596707152,0.0564848443522519,0.3026315789457756,0.4239494501879553,49.648518562316895,48.51040554046631,54.32070446014404,0.5652173913043478,MSDM/04
MSDM,05,0.8222900032997131,0.9981162548065186,0.3053198159111169,0.3950192863140868,0.0708396316336748,0.3534482758608502,0.2384771557152548,58.30725860595703,58.78179454803467,62.32451152801514,0.4645935960591133,MSDM/05
MSDM,06,1.5386290550231934,0.9819959402084352,0.4300537407768395,0.3960958654080199,0.0340912008722644,0.3560606060597968,0.6054049476341077,61.54946804046631,63.07069873809815,63.35361289978027,0.3116561844863731,MSDM/06
MSDM,07,0.8602747321128845,1.109636902809143,0.2640281021965173,0.4698907071743773,0.0715180874827492,0.4259259259235596,0.3299466769394963,56.04863166809082,56.36855316162109,56.47531318664551,0.6467997951868919,MSDM/07
MSDM,08,1.2355365753173828,1.1282072067260742,0.2976886332405236,0.4988479549084471,0.0477473740578078,0.5588235294084776,0.3897938272070997,50.09745121002197,52.31259536743164,52.09060287475586,0.6235294117647059,MSDM/08
MSDM,09,0.950744330883026,1.204960584640503,0.308486968315902,0.5448461705838011,0.0368016251691588,0.4444444444414814,0.2494850649195244,52.399662017822266,51.22835159301758,53.88614845275879,0.3381896181896182,MSDM/09
MSDM,10,0.8936356902122498,1.1461013555526731,0.2625271380317834,0.4825376207028197,0.0897190491586913,0.4062499999987304,0.2896434216666887,55.54770183563232,56.028836250305176,59.164517402648926,0.3708439897698209,MSDM/10
MSG-LD,01,0.6671856045722961,1.205249547958374,0.2384600937736657,0.5321351224575804,0.0682380391086332,0.3863636363624655,0.2298620321439147,55.3511323928833,53.02262020111084,60.53970813751221,0.4364389233954451,MSG-LD/01
MSG-LD,02,0.7198446393013,1.1239479780197144,0.3351301253212121,0.4786873990689085,0.0523301858359811,0.2741935483862123,0.3329799819518727,53.10778427124024,53.08720684051514,59.89915370941162,0.433793030567224,MSG-LD/02
MSG-LD,03,0.4226881861686706,1.021880269050598,0.198228031433883,0.4128583604489134,0.0400372780423386,0.3333333333320988,0.2383962674696629,54.032708168029785,56.63766670227051,57.2251501083374,0.4071316614420062,MSG-LD/03
MSG-LD,04,0.9811912178993224,1.3016786575317385,0.2914221585167077,0.5943621331845091,0.0631282662129999,0.2714285714277959,0.4301790374717779,54.29609680175781,53.78581142425537,59.88839626312256,0.2597853535353535,MSG-LD/04
MSG-LD,05,0.6419656276702881,0.8522117733955383,0.257320672310653,0.318276279607849,0.0452201200471058,0.4141414141401591,0.345929098975948,50.56444358825684,50.01898193359375,58.8475456237793,0.5454545454545454,MSG-LD/05
MSG-LD,06,2.088407278060913,1.2523033618927002,0.221867471970382,0.5562528306637572,0.0959723333402304,0.3437499999989257,0.3526486483295563,57.23330402374268,58.01505184173584,60.27283954620361,0.4707711442786069,MSG-LD/06
MSG-LD,07,1.5547460317611694,1.1815354824066162,0.4157187044990685,0.5257912809048461,0.0204233597446784,0.2894736842090028,0.431034024185742,49.81600189208984,52.07779312133789,56.11910343170166,0.4000721500721501,MSG-LD/07
MSG-LD,08,0.6545855402946472,1.0777806043624878,0.2437341511619714,0.4524522954617308,0.0682865582031899,0.389705882351795,0.2630830676638618,55.55817890167236,54.95095634460449,62.924015045166016,0.3365001853373946,MSG-LD/08
MSG-LD,09,0.5190935134887695,0.9025261998176576,0.1711678803337243,0.3414059812222288,0.0736464876200499,0.4062499999987304,0.3177739921581688,50.530991554260254,53.18014144897461,53.98598957061768,0.4179894179894179,MSG-LD/09
MSG-LD,10,0.9100931882858276,1.5096865892410278,0.2495553791893151,0.7395583326016234,0.0533776405107714,0.3235294117637543,0.3154624224794571,55.944045066833496,56.84464931488037,61.94528484344482,0.2164204978850288,MSG-LD/10
MSG-LD-ext,01,0.5116443037986755,1.0452141761779783,0.2255491316688683,0.4334555799160765,0.0566860408680759,0.3357142857133265,0.4371397999653033,58.933366775512695,57.01414203643799,60.956825256347656,0.527003410059676,MSG-LD-ext/01
MSG-LD-ext,02,0.5703839063644409,1.0791473388671875,0.2513027489555505,0.4507661992703246,0.0760092502891622,0.4312499999989218,0.2692593373855088,58.16265106201172,59.32764434814453,63.8396463394165,0.5343409024860638,MSG-LD-ext/02
MSG-LD-ext,03,0.5789468884468079,1.0296167135238647,0.1836161911857751,0.4152257377301024,0.0995922306556517,0.2878787878779155,0.4261747585876541,60.575507164001465,60.986642837524414,64.69604587554932,0.4973148148148148,MSG-LD-ext/03
MSG-LD-ext,04,0.5157734751701355,0.9316592812538148,0.1986772120369103,0.360141866842346,0.0673569655854364,0.2717391304336011,0.4341072666435089,55.190799713134766,55.20426940917969,58.50904083251953,0.2370071105365223,MSG-LD-ext/04
