axis,model_a,model_b,mean_rank_gap,critical_difference,significant
musicality,MSDM,MSLDM,0.19801980198019775,0.6069218317218925,False
musicality,MSDM,MSG-LD,1.4455445544554455,0.6069218317218925,True
musicality,MSDM,MSG-LD-ext,1.4158415841584158,0.6069218317218925,True
musicality,MSDM,MGE-LDM,0.3564356435643563,0.6069218317218925,False
musicality,MSLDM,MSG-LD,1.6435643564356432,0.6069218317218925,True
musicality,MSLDM,MSG-LD-ext,1.6138613861386135,0.6069218317218925,True
musicality,MSLDM,MGE-LDM,0.5544554455445541,0.6069218317218925,False
musicality,MSG-LD,MSG-LD-ext,0.02970297029702973,0.6069218317218925,False
musicality,MSG-LD,MGE-LDM,1.0891089108910892,0.6069218317218925,True
musicality,MSG-LD-ext,MGE-LDM,1.0594059405940595,0.6069218317218925,True
coherence,MSDM,MSLDM,0.7227722772277227,0.6069218317218925,True
coherence,MSDM,MSG-LD,1.6633663366336635,0.6069218317218925,True
coherence,MSDM,MSG-LD-ext,1.277227722772277,0.6069218317218925,True
coherence,MSDM,MGE-LDM,0.00990099009900991,0.6069218317218925,False
coherence,MSLDM,MSG-LD,2.3861386138613865,0.6069218317218925,True
coherence,MSLDM,MSG-LD-ext,1.9999999999999998,0.6069218317218925,True
coherence,MSLDM,MGE-LDM,0.7326732673267327,0.6069218317218925,True
coherence,MSG-LD,MSG-LD-ext,0.3861386138613865,0.6069218317218925,False
coherence,MSG-LD,MGE-LDM,1.6534653465346536,0.6069218317218925,True
coherence,MSG-LD-ext,MGE-LDM,1.2673267326732671,0.6069218317218925,True
