axis,spearman
musicality,0.3
musicality,0.09999999999999999
musicality,0.6
musicality,0.8999999999999998
musicality,0.39999999999999997
musicality,0.09999999999999999
musicality,0.8999999999999998
musicality,0.49999999999999994
musicality,0.19999999999999998
musicality,0.7
musicality,0.8999999999999998
musicality,-0.3
musicality,0.8999999999999998
musicality,0.7999999999999999
musicality,0.9999999999999999
musicality,0.7
musicality,0.3
musicality,-0.09999999999999999
musicality,0.9999999999999999
musicality,0.09999999999999999
musicality,0.3
musicality,0.3
coherence,0.49999999999999994
coherence,0.3
coherence,0.7
coherence,0.7999999999999999
coherence,0.6
coherence,0.6
coherence,0.39999999999999997
coherence,0.8999999999999998
coherence,0.6
coherence,0.8999999999999998
coherence,0.9999999999999999
coherence,-0.09999999999999999
coherence,0.7
coherence,0.49999999999999994
coherence,0.8999999999999998
coherence,0.9999999999999999
coherence,0.7
coherence,0.8999999999999998
coherence,0.9999999999999999
coherence,0.6
coherence,-0.7
coherence,0.6
